overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
268,Olamide Zaccheaus,WR,96,21,ATL,11,75.8,5.25,0.85,270,45.0,-52.7,-62.3,-34.8,-27.5,0,
269,Samaje Perine,RB,51,16,CIN,6,69.8,5.83,0.704,152.9,40.5,-53.0,-79.2,-4.5,-74.7,11,
270,Zane Gonzalez,K,33,13,FA,0,36.0,2.3,0.921,270,45.0,-53.8,-64.0,-34.8,-29.2,0,
271,Darnell Mooney,WR,97,21,NYG,8,73.4,5.08,0.85,249.2,54.8,-53.9,-64.7,-33.7,-31.0,0,
272,Geno Smith,QB,27,9,NYJ,13,208.5,13.94,0.88,270,45.0,-54.2,-64.6,-34.8,-29.8,0,
273,Zach Charbonnet,RB,52,16,SEA,11,67.2,8.98,0.44,144.7,18.9,-54.2,-81.8,-3.0,-78.8,521,
274,Darnell Washington,TE,33,13,PIT,9,85.1,5.96,0.84,270,45.0,-54.9,-65.8,-34.8,-31.0,0,
275,Charlie Smyth,K,34,14,NO,8,34.0,2.06,0.97,269.0,59.2,-55.1,-66.0,-34.7,-31.3,0,
276,Jason Sanders,K,35,14,NYJ,13,34.0,2.06,0.97,270,45.0,-55.1,-66.0,-34.8,-31.2,0,
277,KaVontae Turpin,WR,98,21,DAL,14,71.5,4.95,0.85,270,45.0,-55.5,-66.6,-34.8,-31.8,0,
278,Marvin Mims,WR,99,21,DEN,10,69.9,5.09,0.807,219.5,48.3,-55.6,-68.2,-32.3,-35.9,0,
279,Jahan Dotson,WR,100,21,ATL,11,71.2,4.93,0.85,270,45.0,-55.7,-66.9,-34.8,-32.1,0,
280,Jake Moody,K,36,14,BAL,13,34.0,2.06,0.97,333.0,73.3,-56.2,-66.0,-37.9,-28.1,0,
281,Eli Stowers,TE,34,13,PHI,10,81.4,6.0,0.798,238.9,52.6,-56.8,-69.5,-33.2,-36.3,0,
282,Chris Bell,WR,101,22,MIA,6,67.2,4.65,0.85,196.1,40.1,-57.4,-70.9,-32.3,-38.6,53,
283,Fernando Mendoza,QB,28,10,LV,13,201.2,13.45,0.88,165.6,40.4,-57.6,-71.9,-31.0,-40.9,12,
284,Michael Mayer,TE,35,13,LV,13,80.8,5.66,0.84,270,45.0,-57.7,-70.1,-34.8,-35.3,0,
285,Marquise Brown,WR,102,22,PHI,10,67.5,4.67,0.85,270,45.0,-58.1,-70.6,-34.8,-35.8,0,
286,Troy Franklin,WR,103,22,DEN,10,66.1,4.57,0.85,204.8,40.7,-58.1,-72.0,-32.3,-39.7,14,
287,Xavier Legette,WR,104,22,CAR,5,66.0,4.81,0.807,180.6,29.5,-58.2,-72.1,-32.3,-39.8,9,
288,Cole Kmet,TE,36,13,CHI,10,79.7,5.58,0.84,270,45.0,-58.5,-71.2,-34.8,-36.4,0,
289,Ben Sauls,K,37,15,FA,0,31.0,1.98,0.921,369.0,81.2,-58.8,-69.0,-39.7,-29.3,0,
290,Jordan James,RB,53,17,SF,8,59.7,4.39,0.8,152.5,14.7,-59.2,-89.3,-3.4,-85.9,11,
291,Theo Johnson,TE,37,13,NYG,8,77.0,5.68,0.798,232.2,51.1,-59.5,-73.9,-32.9,-41.0,0,
292,Jonah Coleman,RB,54,17,DEN,10,63.9,4.65,0.808,158.9,20.6,-60.3,-85.1,-14.1,-71.0,68,
293,Colby Parkinson,TE,38,13,LAR,11,76.3,5.34,0.84,251.4,55.3,-60.3,-74.6,-33.9,-40.7,0,
294,Tyquan Thornton,WR,105,23,KC,5,62.6,4.33,0.85,174.5,25.7,-60.4,-75.5,-32.3,-43.2,6,
295,Dawson Knox,TE,39,13,BUF,7,76.4,5.35,0.84,270,45.0,-60.6,-74.5,-34.8,-39.7,0,
296,Skyler Bell,WR,106,23,BUF,7,63.6,4.4,0.85,270,45.0,-60.6,-74.5,-34.8,-39.7,0,
297,Alvin Kamara,RB,55,17,NO,8,63.0,5.54,0.669,158.0,20.1,-60.8,-86.0,-14.1,-71.9,224,
298,Brandon McManus,K,38,15,FA,0,36.0,2.18,0.97,680.6,149.7,-61.0,-64.0,-55.3,-8.7,0,
299,Barion Brown,WR,107,23,NO,8,63.0,4.36,0.85,270,45.0,-61.0,-75.1,-34.8,-40.3,0,
300,Isaiah Bond,WR,108,23,CLE,11,62.8,4.35,0.85,270,45.0,-61.1,-75.3,-34.8,-40.5,0,
301,Elijah Sarratt,WR,109,23,BAL,13,61.4,4.25,0.85,229.2,50.4,-61.3,-76.7,-32.7,-44.0,0,
302,Justice Hill,RB,56,17,BAL,13,67.7,5.35,0.744,163.8,13.9,-61.5,-81.3,-24.7,-56.6,24,
303,Malik Benson,WR,110,23,LV,13,60.6,4.19,0.85,270,45.0,-62.5,-77.5,-34.8,-42.7,0,
304,Brian Robinson,RB,57,17,ATL,11,69.9,5.14,0.8,167.4,17.6,-62.7,-79.1,-32.3,-46.8,52,
305,Josh Cameron,WR,111,23,JAX,7,59.6,4.12,0.85,270,45.0,-63.2,-78.5,-34.8,-43.7,0,
306,Elijah Arroyo,TE,40,14,SEA,11,72.2,5.06,0.84,270,45.0,-63.3,-78.7,-34.8,-43.9,0,
307,Malik Davis,RB,58,17,DAL,14,68.9,5.07,0.8,169.6,14.1,-63.4,-80.1,-32.3,-47.8,11,
308,Jake Tonges,TE,41,14,SF,8,70.8,4.96,0.84,241.4,53.1,-63.7,-80.1,-33.4,-46.7,0,
309,Zavion Thomas,WR,112,23,CHI,10,57.2,3.96,0.85,171.3,12.2,-63.9,-80.9,-32.3,-48.6,6,
310,Evan Engram,TE,42,14,DEN,10,70.7,4.95,0.84,270,45.0,-64.3,-80.2,-34.8,-45.4,0,
311,Mack Hollins,WR,113,24,NE,11,57.6,3.99,0.85,270,45.0,-64.5,-80.5,-34.8,-45.7,0,
